Issue Type,Issue Key,Issue ID,Summary,Description,Epic Name,Epic Link,Status,Resolution,Priority,Assignee,Reporter,Story Points,Sprint,Components,Labels,Created,Updated,Resolved,Due Date,Comment,Comment,Comment,Comment
Epic,DRG-1,10001,Data Foundations and Ingestion,"Get half-hourly smart-meter demand into a shape the rest of the platform can
trust, and make the project runnable by anyone without the licensed dataset.

Scope: the Low Carbon London loader, the calibrated synthetic generator used
when LCL is unavailable, config, IO and logging utilities, and the raw ->
interim -> processed data contract.

Explicit non-goal: no physical power-flow modelling. DRG is a demand-side
tool and the boundary is stated so nobody expects load-flow results from it.",Data Foundations,,Done,Done,Highest,divya.maram,sabitha.lingala,,Sprint 1 (06 Jan - 17 Jan 2025),Data;Platform,year1;foundation,2025-01-02 09:20:00,2025-03-14 16:20:00,2025-03-14 16:20:00,,"2025-01-02 09:55:00;geetha.nallamada;The constraint that shapes this epic: the LCL dataset is licensed and we cannot assume a reviewer, a new joiner or a CI runner has it. Everything must run end to end on synthetic data that is calibrated to the real thing, or the project is undemonstrable.","2025-01-02 11:10:00;devendranath.singam;Agreed, and I want that to be the default path rather than a fallback nobody exercises. If the synthetic route is only used in emergencies it will be broken when we need it.","2025-03-14 16:18:00;divya.maram;Closing. Loader handles LCL, the synthetic generator reproduces its seasonality and household spread, and a clean clone runs with no key and no dataset.",
Epic,DRG-2,10002,Neighbourhood Consumption Analysis,"Objective 1 of the proposal: understand how neighbourhood consumption actually
behaves before modelling it.

Scope: profiling by time of day, day of week and season; household
heterogeneity within a neighbourhood; the daily and weekly shapes that later
justify the lag features; and the reporting figures that go into the design
document.",Consumption Analysis,,Done,Done,High,geetha.nallamada,sabitha.lingala,,Sprint 1 (06 Jan - 17 Jan 2025),Analysis,year1;eda,2025-01-02 09:22:00,2025-04-25 15:40:00,2025-04-25 15:40:00,,"2025-01-20 10:30:00;geetha.nallamada;The point of this epic is not charts. It is to find out what the weekly cycle looks like, because if weekly seasonality dominates then lag_336 is the single most important feature we will build and everything downstream follows from that.","2025-04-25 15:38:00;geetha.nallamada;Closed, and it did dominate. That finding drives the feature set, the model choice and eventually the SHAP story.",,
Epic,DRG-3,10003,Feature Engineering,"Turn a half-hourly series into a supervised learning problem without leaking
the future into the past.

Scope: calendar features, cyclical encodings of time of day and day of week,
lag features at 1, 48 and 336 half-hours, rolling statistics, weather joins,
and the chronological split contract every model must honour.",Feature Engineering,,Done,Done,Highest,divya.maram,sabitha.lingala,,Sprint 1 (06 Jan - 17 Jan 2025),Features,year1;features,2025-01-02 09:24:00,2025-06-06 16:10:00,2025-06-06 16:10:00,,"2025-02-10 09:45:00;divya.maram;Every feature in this epic gets one question asked of it: at the moment we would make this prediction in production, is this value knowable? If the answer is no or unclear, it does not go in.",2025-06-06 16:05:00;geetha.nallamada;Closed. DRG-58 was the reason that question needed a test behind it rather than a habit.,,
Epic,DRG-4,10004,Forecasting Model Ladder,"Objective 2: short-term half-hourly demand forecasting, with every model
measured against the operational status quo.

The ladder, all evaluated on the same held-out chronological window:
seasonal naive (the thing an operator does today), linear/Ridge, XGBoost as
the primary model, and an optional deep sequence model.

Rule for the epic: the naive baseline is a first-class published result. A
model that cannot beat ""same half-hour yesterday"" does not get deployed.",Model Ladder,,Done,Done,Highest,geetha.nallamada,sabitha.lingala,,Sprint 1 (06 Jan - 17 Jan 2025),Models,year1;modelling,2025-01-02 09:26:00,2025-09-19 16:30:00,2025-09-19 16:30:00,,"2025-06-16 09:40:00;geetha.nallamada;Naive first, then linear, then trees, then deep - in that order, and each one has to earn its place against the one below it. Starting with XGBoost would mean never finding out that Ridge gets within 0.13 MAE of it for a fraction of the complexity.","2025-08-11 10:20:00;divya.maram;Rolling-origin CV over five expanding folds rather than a single split, so we know the test result is not a lucky window.","2025-09-19 16:25:00;geetha.nallamada;Closed. XGBoost at 0.70 MAE against seasonal naive at 1.54, and the CV band is 0.74 to 0.95 RMSE so the headline is honest.",
Epic,DRG-5,10005,Statistical Stress Detection,"Objective 3: define grid stress from data rather than from an assumed
capacity limit, which we do not have.

Stress is a half-hour above a percentile of that neighbourhood's own
historical demand distribution. Each site is compared against itself, so a
dense urban feeder and a suburban one are both measurable without knowing
either one's rating.

Scope: threshold derivation, event detection, frequency and duration metrics,
and the alarm quality measures that let a forecast be judged on stress rather
than only on error.",Stress Detection,,Done,Done,High,geetha.nallamada,sabitha.lingala,,Sprint 1 (06 Jan - 17 Jan 2025),Stress,year1;stress,2025-01-02 09:28:00,2025-11-14 15:50:00,2025-11-14 15:50:00,,"2025-09-29 10:15:00;geetha.nallamada;The honest framing, which goes in the design doc: we do not have transformer ratings, so we cannot say a neighbourhood is over capacity. What we can say is that it is in the top 5% of its own history, and that this is happening ten times more often under an electrification scenario. That is a defensible claim and the other one is not.","2025-11-14 15:45:00;divya.maram;Closed. P95 per site, events detected with a minimum duration, and stress-alarm F1 published alongside MAE for every model.",,
Epic,DRG-6,10006,Electrification Scenario Simulation,"Objective 4: simulate EV and heat-pump adoption from the bottom up and
quantify how much they amplify peak demand.

Scope: per-household adoption sampling, EV charging profiles, heat-pump
profiles driven by temperature, diversity between the two loads, and scenario
sweeps from base through to high adoption.

Every scenario reports its after-diversity maximum demand per device and its
energy per vehicle per day, so the assumptions can be audited against DNO
planning practice rather than taken on trust.",Electrification Simulation,,Done,Done,Highest,divya.maram,sabitha.lingala,,Sprint 1 (06 Jan - 17 Jan 2025),Simulation,year1;simulation,2025-01-02 09:30:00,2026-02-13 16:40:00,2026-02-13 16:40:00,,"2025-11-24 09:50:00;divya.maram;The number that will decide whether this is credible is diversity. If EV and heat pump peaks are simply added, we will overstate the problem and a DNO planner will stop reading.","2026-01-16 14:20:00;geetha.nallamada;And that turned out to be the finding rather than a caveat - see DRG-80. EV alone at 80% gives +154%, heat pumps alone at 70% give +113%, together +237%. Twenty-nine percentage points less than additive.","2026-02-13 16:35:00;divya.maram;Closed. Five scenarios, ADMD printed per scenario at 1.20 kW per EV and 1.30 kW per heat pump, which lands inside the range DNOs actually plan with.",
Epic,DRG-7,10007,Sensitivity Analysis,"Objective 5: how sensitive are stress frequency and duration to the
assumptions we chose?

Scope: sweeping adoption rates, charging behaviour, heat-pump COP and the
stress percentile itself; reporting how each output moves; and identifying
which assumptions the conclusions actually depend on.",Sensitivity Analysis,,Done,Done,High,geetha.nallamada,sabitha.lingala,,Sprint 1 (06 Jan - 17 Jan 2025),Analysis,year2;sensitivity,2025-01-02 09:32:00,2026-04-10 15:20:00,2026-04-10 15:20:00,,2026-02-23 10:40:00;geetha.nallamada;A single scenario number with no sensitivity around it invites the reader to argue about the assumption instead of the conclusion. This epic exists so we can say which assumptions matter and which do not.,"2026-04-10 15:15:00;geetha.nallamada;Closed. The conclusion is robust to charging behaviour and COP within plausible ranges, and highly sensitive to the adoption rate itself - which is the honest answer and also the one planners can act on.",,
Epic,DRG-8,10008,Explainable AI,"Objective 6: explain the forecasts, globally and during stress specifically.

Scope: SHAP over the primary model, global driver ranking, a separate ranking
restricted to stress half-hours, and per-prediction explanations surfaced in
the dashboard and the API.

An operator being asked to act on a stress alarm needs to know why the model
expects it, or the alarm is just a number they will learn to ignore.",Explainable AI,,Done,Done,High,geetha.nallamada,sabitha.lingala,,Sprint 1 (06 Jan - 17 Jan 2025),Explain,year2;xai,2025-01-02 09:34:00,2026-05-22 16:00:00,2026-05-22 16:00:00,,"2026-04-20 11:15:00;geetha.nallamada;Explaining stress periods separately from all periods is the part I care about. If the drivers differ, that is operationally interesting; if they do not, that is reassuring. Either way it is worth knowing rather than assuming.","2026-05-22 15:55:00;divya.maram;Closed. lag_336 at 39% globally and 39% during stress, and its share grows on the other lags during stress - high-demand half-hours are strongly recurrent, which is exactly why they are forecastable.",,
Epic,DRG-9,10009,Near-Real-Time Replay and External Feeds,"Objective 7, part one: make the system behave like something operational
rather than a batch study.

Scope: a replay engine that streams historical half-hours at accelerated wall
clock, live weather and carbon-intensity feeds from key-free public APIs, and
a graceful path when a feed is unavailable.

Replay is event-time driven, so a replayed window reproduces exactly the
forecasts and alarms it produced the first time.",Replay & Feeds,,Done,Done,High,devendranath.singam,sabitha.lingala,,Sprint 1 (06 Jan - 17 Jan 2025),Streaming,year2;streaming,2025-01-02 09:36:00,2026-03-27 16:10:00,2026-03-27 16:10:00,,"2026-02-16 09:30:00;devendranath.singam;Two rules, both borrowed from painful experience. Event time, never wall clock, or the replay is untestable. And no external feed is allowed to be load-bearing - if the weather API is down, the run degrades and says so, it does not fail.","2026-03-27 16:05:00;devendranath.singam;Closed. Replay reproduces its output exactly across runs and both feeds are key-free, so this works on a laptop with no credentials.",,
Epic,DRG-10,10010,Forecast and Scenario REST API,"Objective 7, part two: serve forecasts, stress state and scenarios over HTTP
so DRG can be consumed by something other than its own dashboard.

Scope: FastAPI service, forecast and stress endpoints, scenario invocation,
health and readiness, OpenAPI docs, and a model version stamped on every
response so any answer can be reproduced later.",REST API,,Done,Done,High,devendranath.singam,sabitha.lingala,,Sprint 1 (06 Jan - 17 Jan 2025),API,year2;api,2025-01-02 09:38:00,2026-06-19 15:30:00,2026-06-19 15:30:00,,2026-05-11 10:20:00;devendranath.singam;Every response carries the model version and the as-of timestamp. A forecast you cannot trace back to a model artefact is a number you cannot defend three months later when someone asks why the plan said what it said.,"2026-06-19 15:25:00;geetha.nallamada;Closed. Endpoints for forecast, stress, scenario and explanation, all versioned.",,
